code,성별,상품명,현재가,할인,소매
p03920375,남성,코튼 스트라이프 니트 티셔츠,"₩55,900",,반팔
p06224991,남성,플로럴 워싱 코튼-린넨 티셔츠,"₩49,900",,
p00722306,남성,텍스트 프린트 릴렉스핏 슬리브리스 티셔츠,"₩49,900",,반팔
p04231306,남성,MEDIUM WEIGHT 레귤러핏 탱크 티셔츠,"₩49,900",,
p00526907,남성,워싱 베이직 릴렉스핏 티셔츠,"₩45,900",,반팔
p04087532,남성,잉글랜드 66 FIFA 월드컵™ FIFA 클래식 하이테크 폴로셔츠,"₩79,900",,긴팔
p00722300,남성,푸카스 서프 X 자라 포토그래픽 스탬핑 티셔츠,"₩49,900",,
p04087535,남성,이탈리아 90 FIFA 월드컵™ FIFA 클래식 콘트라스트 티셔츠,"₩55,900",,반팔
p06224345,남성,코튼 러닝 탱크 티셔츠,"₩45,900",,
p04387307,남성,피케 스트럭처 기능성 티셔츠,"₩45,900",,반팔
p03992305,남성,오픈워크 스트럭처 탱크 티셔츠,"₩49,900",,반팔
p04805313,남성,워싱 프린트 니트 티셔츠,"₩49,900",,반팔
p00722302,남성,푸카스 서프 X ZARA 릴렉스핏 스웨트셔츠,"₩55,900",,반팔
p05644318,남성,바나나 자수 탱크 티셔츠,"₩45,900",,반팔
p04805311,남성,릴렉스핏 니트 티셔츠,"₩79,900",,긴팔
p02966305,남성,그래블 쇼트 슬리브 저지,"₩109,900",,반팔
p06224302,남성,코튼 러닝 티셔츠,"₩49,900",,반팔
p01165302,남성,릴렉스핏 콤비 패치 티셔츠,"₩45,900",,반팔
p06224979,남성,하와이 워싱 코튼-린넨 티셔츠,"₩49,900",,반팔
p00962444,남성,세라믹 프린트 티셔츠,"₩45,900",,
p06224322,남성,릴렉스 핏 배색 프린트 티셔츠,"₩45,900",,반팔
p00526333,남성,스티치 릴렉스핏 티셔츠,"₩35,900",,반팔
p00495329,남성,릴렉스 핏 배색 프린트 티셔츠,"₩45,900",,반팔
p06224325,남성,베이직 배색 리브 티셔츠,"₩45,900",,반팔
p06224328,남성,배색 자수 릴랙스 핏 티셔츠,"₩45,900",,반팔
p05584324,남성,배색 파이핑 V넥 티셔츠,"₩45,900",,반팔
p06224332,남성,콤비 프린트 레귤러핏 티셔츠,"₩45,900",,반팔
p06224331,남성,레귤러핏 콤비 프린트 티셔츠,"₩45,900",,반팔
p04087538,남성,시어서커 티셔츠,"₩49,900",,반팔
p05584323,남성,롱 슬리브 포켓 티셔츠,"₩55,900",,긴팔
p05584320,남성,립 콤비 파이핑 탱크탑,"₩45,900",,반팔
p05584322,남성,레이어드 티셔츠,"₩49,900",,반팔
p00722307,남성,릴렉스핏 롱 슬리브 티셔츠,"₩59,900",,
p01165301,남성,프린트 패치 슬리브리스 티셔츠,"₩45,900",,반팔
p05644325,남성,컬러 블록 릴렉스핏 티셔츠,"₩55,900",,긴팔
p03278162,남성,아론 레빈 X 자라 체크 루즈 셔츠,"₩109,900",,
p03796813,남성,스트라이프 자카드 릴렉스핏 셔츠,"₩59,900",,반팔
p07545157,남성,아론 레빈 X ZARA 플루이드 레귤러핏 포켓 셔츠,"₩139,900",,긴팔
p01195405,남성,체크 릴렉스핏 셔츠,"₩59,900",,
